onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
2.017	3.000	forget	0.733	retrieval	restudy	object	scene	face	competitor	scene	1	1	124	76	176	228	2.0	n/a
7.052	1.782	correct	1.782	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
9.352	0.986	correct	0.986	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
10.850	0.615	correct	0.615	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
11.984	0.533	incorrect	0.533	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
14.016	3.000	no response	n/a	retrieval	restudy	scene	object	face	no response	no response	2	1	74	122	274	126	14.0	n/a
19.050	2.737	correct	2.737	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
22.300	0.518	correct	0.518	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
23.333	0.462	correct	0.462	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
24.316	0.200	incorrect	0.200	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
26.015	3.000	forget	0.358	retrieval	restudy	scene	face	object	competitor	face	3	1	30	102	254	30	26.0	n/a
31.049	0.880	correct	0.880	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
32.449	0.393	correct	0.393	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
33.365	0.460	correct	0.460	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
34.348	0.469	correct	0.469	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
35.332	0.558	correct	0.558	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
36.398	0.117	incorrect	0.117	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
38.014	3.000	forget	0.919	retrieval	retprac	face	scene	object	competitor	scene	4	1	103	31	79	207	38.0	n/a
43.065	0.632	correct	0.632	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
